                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     82,                 1.9188,                 1.2001,                0.90085,                0.53934,                0.52542,                0.58627,                0.20977,                 2.3694,                 1.3011,                 1.0682,              0.0014654,              0.0014654,              0.0014654
                     83,                 1.8602,                 1.2128,                0.90692,                0.57561,                0.66102,                0.61819,                0.20887,                 2.3688,                 1.3034,                 1.0673,              0.0014588,              0.0014588,              0.0014588
                     84,                 1.9517,                 1.1931,                0.91157,                0.60688,                0.72881,                0.66386,                0.24583,                 2.2013,                  1.249,                 1.0289,              0.0014522,              0.0014522,              0.0014522
                     85,                 1.9537,                 1.1525,                 0.9089,                0.55954,                0.64596,                0.57635,                0.21225,                 2.2197,                 1.3097,                 1.0131,              0.0014456,              0.0014456,              0.0014456
                     86,                 1.9272,                 1.2615,                0.92194,                0.57537,                0.66606,                0.58925,                0.24501,                 2.0452,                 1.2814,                0.98915,               0.001439,               0.001439,               0.001439
                     87,                 1.9498,                 1.1911,                0.90331,                0.56785,                0.55932,                0.54546,                0.22682,                  2.045,                 1.4236,                 1.0054,              0.0014324,              0.0014324,              0.0014324
                     88,                 1.9451,                 1.2705,                0.90811,                0.63037,                0.50847,                 0.5585,                 0.2192,                 2.1433,                 1.3605,                 1.0276,              0.0014258,              0.0014258,              0.0014258
                     89,                 1.9018,                 1.1721,                0.91863,                 0.6175,                0.54237,                0.57225,                 0.2182,                 2.1481,                  1.307,                 1.0184,              0.0014192,              0.0014192,              0.0014192
                     90,                 1.9324,                 1.2392,                  0.893,                0.57401,                0.63953,                0.57347,                0.20823,                 2.1768,                 1.2562,                 1.0376,              0.0014126,              0.0014126,              0.0014126
                     91,                 2.0026,                 1.1993,                0.93306,                0.52141,                0.67797,                0.56259,                0.21215,                 2.0758,                  1.307,                 1.0148,               0.001406,               0.001406,               0.001406
                     92,                 1.8502,                 1.1342,                0.91854,                0.59278,                0.67797,                0.57549,                0.22653,                 2.0436,                  1.246,                0.98136,              0.0013994,              0.0013994,              0.0013994
                     93,                 1.9044,                   1.21,                0.90006,                0.56984,                0.74576,                0.61712,                0.24252,                 2.0083,                 1.2029,                0.96864,              0.0013928,              0.0013928,              0.0013928
                     94,                  1.956,                 1.2095,                0.91295,                0.60882,                0.61017,                0.59478,                0.23029,                 2.0191,                 1.2538,                0.97296,              0.0013862,              0.0013862,              0.0013862
                     95,                  1.961,                 1.1987,                0.89763,                0.62691,                0.57627,                0.58064,                0.22076,                 2.0994,                 1.2552,                0.98773,              0.0013796,              0.0013796,              0.0013796
                     96,                  1.908,                  1.217,                0.89658,                0.60567,                0.54237,                0.58888,                0.23074,                 2.0718,                 1.2712,                0.99943,               0.001373,               0.001373,               0.001373
                     97,                 1.8997,                 1.1844,                0.90391,                0.58086,                0.62712,                0.61471,                0.23884,                 2.0321,                 1.2417,                0.98165,              0.0013664,              0.0013664,              0.0013664
                     98,                 1.8171,                 1.1704,                0.89794,                0.62892,                0.64407,                0.63953,                0.24879,                 2.1097,                 1.2187,                0.98521,              0.0013598,              0.0013598,              0.0013598
                     99,                 1.8421,                 1.2011,                0.89955,                0.62426,                0.70404,                0.66468,                0.27736,                 2.1038,                 1.3242,                0.99629,              0.0013532,              0.0013532,              0.0013532
                    100,                 1.9166,                 1.1982,                0.90025,                0.60997,                0.63622,                0.63119,                0.24674,                 2.2604,                 1.2908,                 1.0444,              0.0013466,              0.0013466,              0.0013466
                    101,                 1.8595,                 1.1044,                0.90361,                0.57793,                0.69492,                0.66336,                0.26764,                 2.1248,                 1.2672,                 0.9988,                0.00134,                0.00134,                0.00134
                    102,                 1.9011,                 1.2165,                0.89885,                0.65291,                0.62712,                0.70044,                0.27321,                 2.1299,                 1.2124,                0.99711,              0.0013334,              0.0013334,              0.0013334
                    103,                 1.8997,                 1.1944,                0.89941,                0.57763,                0.67797,                0.65468,                0.25498,                 2.1069,                 1.3344,                 0.9968,              0.0013268,              0.0013268,              0.0013268
                    104,                 1.8803,                 1.1401,                 0.8974,                0.55564,                0.62712,                0.60811,                0.24655,                 2.1011,                 1.3886,                 1.0025,              0.0013202,              0.0013202,              0.0013202
                    105,                 1.8554,                 1.1571,                0.89165,                0.56925,                0.62716,                0.60216,                0.24425,                 2.0994,                 1.3143,                 1.0091,              0.0013136,              0.0013136,              0.0013136
                    106,                 1.8241,                 1.0731,                 0.8854,                0.62387,                0.54237,                0.61752,                0.25095,                 2.0454,                 1.2154,                0.99743,               0.001307,               0.001307,               0.001307
                    107,                 1.8486,                 1.1295,                0.89476,                 0.7622,                0.49153,                0.65274,                0.25752,                 2.0894,                 1.2194,                 1.0039,              0.0013004,              0.0013004,              0.0013004
                    108,                 1.8665,                 1.0722,                0.89611,                0.68906,                0.54237,                0.61901,                0.25261,                 2.0769,                 1.2468,                 1.0126,              0.0012938,              0.0012938,              0.0012938
                    109,                 1.9001,                 1.1327,                0.91314,                0.77904,                0.47458,                0.61905,                0.25309,                 2.0832,                 1.2174,                 1.0082,              0.0012872,              0.0012872,              0.0012872
                    110,                 1.9138,                 1.1762,                0.91941,                  0.494,                0.67797,                0.61991,                0.24355,                 2.0953,                 1.2895,                 1.0105,              0.0012806,              0.0012806,              0.0012806
                    111,                 1.8464,                 1.1327,                0.90803,                0.70408,                0.47458,                0.63222,                0.21955,                 2.2899,                 1.2757,                 1.0447,               0.001274,               0.001274,               0.001274
                    112,                 1.8122,                 1.1226,                0.88259,                0.53792,                0.66102,                 0.6246,                0.22579,                 2.2527,                 1.3545,                 1.0237,              0.0012674,              0.0012674,              0.0012674
                    113,                 1.9008,                 1.1373,                 0.9011,                0.60947,                0.66102,                0.62706,                0.23055,                 2.1368,                 1.4413,                0.99481,              0.0012608,              0.0012608,              0.0012608
                    114,                 1.8505,                 1.1314,                0.90193,                0.62919,                0.54237,                0.62691,                0.23286,                 2.2977,                 1.3156,                 1.0334,              0.0012542,              0.0012542,              0.0012542
                    115,                 1.8763,                 1.1429,                0.89908,                0.63591,                0.59207,                  0.608,                0.23919,                 2.2706,                 1.1929,                 1.0195,              0.0012476,              0.0012476,              0.0012476
                    116,                 1.8538,                 1.1501,                0.89534,                 0.6308,                0.55029,                0.61013,                0.25214,                 2.1375,                 1.1615,                 1.0053,               0.001241,               0.001241,               0.001241
                    117,                 1.8374,                 1.1095,                0.89038,                0.60039,                0.52542,                 0.6026,                0.23541,                 2.1448,                 1.2134,                 1.0042,              0.0012344,              0.0012344,              0.0012344
                    118,                 1.8269,                 1.1138,                0.89352,                0.47272,                0.69492,                0.59945,                0.22939,                 2.1634,                 1.1999,                 1.0016,              0.0012278,              0.0012278,              0.0012278
